"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"1","autauga county school district","00240","Alabama","Autauga County","01_001",9717,2013,79651,7259,51182,21210,77028,42480,21483,6996,4563," 8,055 "
"2","baldwin county school district","00270","Alabama","Baldwin County","01_003",29419,2013,294249,22266,122616,149367,264079,139820,85770,17963,11220," 24,402 "
"3","baldwin county school district","00210","Alabama","Baldwin County","13_009",29419,2013,294249,22266,122616,149367,264079,139820,85770,17963,11220," 9,916 "
"4","barbour county school district","00300","Alabama","Barbour County","01_005",1061,2013,10444,2650,5850,1944,10628,5318,3858,1223,0," 6,740 "
"5","barbour county school district","00030","Alabama","Barbour County","54_001",1061,2013,10444,2650,5850,1944,10628,5318,3858,1223,0," 3,503 "
"6","eufaula city school district","01410","Alabama","Barbour County","01_005",2805,2013,24320,3588,14592,6140,24630,13974,7149,2276,1192," 6,740 "
"7","bibb county school district","00360","Alabama","Bibb County","01_007",3475,2013,31799,3909,21660,6230,30276,16113,9405,3184,725," 4,175 "
"8","bibb county school district","00420","Alabama","Bibb County","13_021",3475,2013,31799,3909,21660,6230,30276,16113,9405,3184,725," 45,272 "
"9","blount county school district","00420","Alabama","Blount County","01_009",8341,2013,67328,6812,47058,13458,65016,36785,21422,5487,744," 9,037 "
"10","blount county school district","00300","Alabama","Blount County","47_009",8341,2013,67328,6812,47058,13458,65016,36785,21422,5487,744," 21,106 "
"11","oneonta city school district","02550","Alabama","Blount County","01_009",1465,2013,12624,955,8084,3585,12396,6818,3521,1582,283," 9,037 "
"12","oneonta city school district","21780","Alabama","Delaware County","36_025",1465,2013,12624,955,8084,3585,12396,6818,3521,1582,283," 6,298 "
"13","oneonta city school district","21780","Alabama","Otsego County","36_077",1465,2013,12624,955,8084,3585,12396,6818,3521,1582,283," 6,293 "
"14","bullock county school district","00480","Alabama","Bullock County","01_011",1524,2013,16766,4936,9207,2623,17485,8064,7106,1594,529," 2,966 "
"15","butler county school district","00510","Alabama","Butler County","01_013",3245,2013,32714,6702,17931,8081,32217,16169,10014,2711,1728," 5,451 "
"16","butler county school district","00810","Alabama","Butler County","21_031",3245,2013,32714,6702,17931,8081,32217,16169,10014,2711,1728," 2,854 "
"17","anniston city school district","00090","Alabama","Calhoun County","01_015",2051,2013,22822,4324,11321,7177,24274,11817,9868,2090,469," 25,918 "
"18","calhoun county school district","00540","Alabama","Calhoun County","01_015",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 25,918 "
"19","calhoun county school district","00210","Alabama","Calhoun County","12_013",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 2,684 "
"20","calhoun county school district","00750","Alabama","Calhoun County","13_037",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 1,525 "
"21","calhoun county school district","00870","Alabama","Calhoun County","28_013",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 3,311 "
"22","calhoun county school district","01250","Alabama","Calhoun County","45_017",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 2,807 "
"23","calhoun county school district","00210","Alabama","Calhoun County","54_013",9300,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552," 1,730 "
