Federal Information Processing Standard (FIPS) Code,State,Area name,"Less than a high school diploma, 2007-11","High school diploma only, 2007-11","Some college or associate's degree, 2007-11","Bachelor's degree or higher, 2007-11","Percent of adults with less than a high school diploma, 2007-11","Percent of adults with a high school diploma only, 2007-11","Percent of adults completing some college or associate's degree, 2007-11",Percent of adults with a bachelor's degree or higher 2007-11
0,US,United States,"29,518,935","57,861,283","57,694,281","56,973,624",14.6,28.6,28.6,28.2
1000,AL,Alabama,"567,670","986,404","894,565","689,439",18.1,31.4,28.5,22
1001,AL,Autauga County,"4,685","12,113","10,305","7,478",13.5,35,29.8,21.6
1003,AL,Baldwin County,"15,094","36,271","39,216","33,869",12.1,29.1,31.5,27.2
1005,AL,Barbour County,"5,216","6,249","4,829","2,630",27.6,33,25.5,13.9
1007,AL,Bibb County,"3,690","6,414","3,687","1,500",24.1,41.9,24.1,9.8
1009,AL,Blount County,"10,330","13,839","9,957","4,347",26.8,36,25.9,11.3
1011,AL,Bullock County,"2,110","2,614","1,729","1,084",28,34.7,22.9,14.4
1013,AL,Butler County,"3,561","5,275","3,518","1,742",25.3,37.4,25,12.4
1015,AL,Calhoun County,"17,296","26,319","22,126","12,365",22.1,33.7,28.3,15.8
1017,AL,Chambers County,"6,119","8,634","6,485","2,502",25.8,36.4,27.3,10.5
1019,AL,Cherokee County,"4,935","6,429","5,164","2,106",26.5,34.5,27.7,11.3
1021,AL,Chilton County,"7,270","10,990","6,994","3,567",25.2,38.1,24.3,12.4
1023,AL,Choctaw County,"2,561","3,816","2,312","1,024",26.4,39.3,23.8,10.5
1025,AL,Clarke County,"3,777","6,955","4,217","2,270",21.9,40.4,24.5,13.2
1027,AL,Clay County,"2,673","3,781","2,500",891,27.2,38.4,25.4,9.1
1029,AL,Cleburne County,"2,745","3,998","2,467",959,27,39.3,24.3,9.4
1031,AL,Coffee County,"6,529","9,434","9,936","7,010",19.8,28.7,30.2,21.3
1033,AL,Colbert County,"7,310","12,819","11,261","6,602",19.2,33.7,29.6,17.4
1035,AL,Conecuh County,"2,406","3,387","2,010","1,019",27.3,38.4,22.8,11.6
1037,AL,Coosa County,"1,929","3,641","1,773",772,23.8,44.9,21.8,9.5
