Federal Information Processing Standards (FIPS) Code,State,Area name,Population 2010
0,US,United States,"308,745,538"
1000,AL,Alabama,"4,779,736"
1001,AL,Autauga County,"54,571"
1003,AL,Baldwin County,"182,265"
1005,AL,Barbour County,"27,457"
1007,AL,Bibb County,"22,915"
1009,AL,Blount County,"57,322"
1011,AL,Bullock County,"10,914"
1013,AL,Butler County,"20,947"
1015,AL,Calhoun County,"118,572"
1017,AL,Chambers County,"34,215"
1019,AL,Cherokee County,"25,989"
1021,AL,Chilton County,"43,643"
1023,AL,Choctaw County,"13,859"
1025,AL,Clarke County,"25,833"
1027,AL,Clay County,"13,932"
1029,AL,Cleburne County,"14,972"
1031,AL,Coffee County,"49,948"
1033,AL,Colbert County,"54,428"
1035,AL,Conecuh County,"13,228"
1037,AL,Coosa County,"11,539"
1039,AL,Covington County,"37,765"
1041,AL,Crenshaw County,"13,906"
1043,AL,Cullman County,"80,406"
1045,AL,Dale County,"50,251"
1047,AL,Dallas County,"43,820"
1049,AL,DeKalb County,"71,109"
1051,AL,Elmore County,"79,303"
1053,AL,Escambia County,"38,319"
1055,AL,Etowah County,"104,430"
1057,AL,Fayette County,"17,241"
1059,AL,Franklin County,"31,704"
1061,AL,Geneva County,"26,790"
1063,AL,Greene County,"9,045"
1065,AL,Hale County,"15,760"
1067,AL,Henry County,"17,302"
1069,AL,Houston County,"101,547"
1071,AL,Jackson County,"53,227"
1073,AL,Jefferson County,"658,466"
1075,AL,Lamar County,"14,564"
1077,AL,Lauderdale County,"92,709"
1079,AL,Lawrence County,"34,339"
1081,AL,Lee County,"140,247"
1083,AL,Limestone County,"82,782"
1085,AL,Lowndes County,"11,299"
1087,AL,Macon County,"21,452"
1089,AL,Madison County,"334,811"
1091,AL,Marengo County,"21,027"
1093,AL,Marion County,"30,776"
1095,AL,Marshall County,"93,019"
1097,AL,Mobile County,"412,992"
1099,AL,Monroe County,"23,068"
1101,AL,Montgomery County,"229,363"
1103,AL,Morgan County,"119,490"
1105,AL,Perry County,"10,591"
1107,AL,Pickens County,"19,746"
1109,AL,Pike County,"32,899"
1111,AL,Randolph County,"22,913"
1113,AL,Russell County,"52,947"
1115,AL,St. Clair County,"83,593"
1117,AL,Shelby County,"195,085"
1119,AL,Sumter County,"13,763"
1121,AL,Talladega County,"82,291"
1123,AL,Tallapoosa County,"41,616"
1125,AL,Tuscaloosa County,"194,656"
1127,AL,Walker County,"67,023"
1129,AL,Washington County,"17,581"
1131,AL,Wilcox County,"11,670"
1133,AL,Winston County,"24,484"
2000,AK,Alaska,"710,231"
2013,AK,Aleutians East Borough,"3,141"
2016,AK,Aleutians West Census Area,"5,561"
2020,AK,Anchorage Municipality,"291,826"
2050,AK,Bethel Census Area,"17,013"
2060,AK,Bristol Bay Borough,997
2063,AK,Chugach Census Area,
2066,AK,Copper River Census Area,
2068,AK,Denali Borough,"1,826"
2070,AK,Dillingham Census Area,"4,847"
2090,AK,Fairbanks North Star Borough,"97,581"
2100,AK,Haines Borough,"2,508"
2105,AK,Hoonah-Angoon Census Area,"2,150"
2110,AK,Juneau City and Borough,"31,275"
2122,AK,Kenai Peninsula Borough,"55,400"
2130,AK,Ketchikan Gateway Borough,"13,477"
2150,AK,Kodiak Island Borough,"13,592"
2158,AK,Kusilvak Census Area,"7,459"
2164,AK,Lake and Peninsula Borough,"1,631"
2170,AK,Matanuska-Susitna Borough,"88,995"
2180,AK,Nome Census Area,"9,492"
2185,AK,North Slope Borough,"9,430"
2188,AK,Northwest Arctic Borough,"7,523"
2195,AK,Petersburg Borough,"3,815"
2198,AK,Prince of Wales-Hyder Census Area,"5,559"
2201,AK,Prince of Wales-Outer Ketchikan Census Area,
2220,AK,Sitka City and Borough,"8,881"
2230,AK,Skagway Municipality,968
2232,AK,Skagway-Hoonah-Angoon Census Area,
2240,AK,Southeast Fairbanks Census Area,"7,029"
2261,AK,Valdez-Cordova Census Area,"9,636"
2275,AK,Wrangell City and Borough,"2,369"
2280,AK,Wrangell-Petersburg Census Area,
2282,AK,Yakutat City and Borough,662
2290,AK,Yukon-Koyukuk Census Area,"5,588"
4000,AZ,Arizona,"6,392,017"
4001,AZ,Apache County,"71,518"
4003,AZ,Cochise County,"131,346"
4005,AZ,Coconino County,"134,421"
4007,AZ,Gila County,"53,597"
4009,AZ,Graham County,"37,220"
4011,AZ,Greenlee County,"8,437"
4012,AZ,La Paz County,"20,489"
4013,AZ,Maricopa County,"3,817,117"
4015,AZ,Mohave County,"200,186"
4017,AZ,Navajo County,"107,449"
4019,AZ,Pima County,"980,263"
4021,AZ,Pinal County,"375,770"
4023,AZ,Santa Cruz County,"47,420"
4025,AZ,Yavapai County,"211,033"
4027,AZ,Yuma County,"195,751"
5000,AR,Arkansas,"2,915,918"
5001,AR,Arkansas County,"19,019"
5003,AR,Ashley County,"21,853"
5005,AR,Baxter County,"41,513"
5007,AR,Benton County,"221,339"
5009,AR,Boone County,"36,903"
5011,AR,Bradley County,"11,508"
5013,AR,Calhoun County,"5,368"
5015,AR,Carroll County,"27,446"
5017,AR,Chicot County,"11,800"
5019,AR,Clark County,"22,995"
5021,AR,Clay County,"16,083"
5023,AR,Cleburne County,"25,970"
5025,AR,Cleveland County,"8,689"
5027,AR,Columbia County,"24,552"
5029,AR,Conway County,"21,273"
5031,AR,Craighead County,"96,443"
5033,AR,Crawford County,"61,948"
5035,AR,Crittenden County,"50,902"
