FIPS_code,State,Area_name,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013
0,US,United States,"155,362,278","143,905,037","11,457,241",7.4
1000,AL,Alabama,"2,172,102","2,012,828","159,274",7.3
1001,AL,"Autauga County, AL","25,783","24,155","1,628",6.3
1003,AL,"Baldwin County, AL","85,206","79,466","5,740",6.7
1005,AL,"Barbour County, AL","9,096","8,152",944,10.4
1007,AL,"Bibb County, AL","8,699","8,000",699,8
1009,AL,"Blount County, AL","24,860","23,277","1,583",6.4
1011,AL,"Bullock County, AL","4,774","4,322",452,9.5
1013,AL,"Butler County, AL","9,144","8,189",955,10.4
1015,AL,"Calhoun County, AL","48,381","44,068","4,313",8.9
1017,AL,"Chambers County, AL","15,263","14,028","1,235",8.1
1019,AL,"Cherokee County, AL","11,392","10,627",765,6.7
1021,AL,"Chilton County, AL","19,339","18,052","1,287",6.7
1023,AL,"Choctaw County, AL","4,701","4,261",440,9.4
1025,AL,"Clarke County, AL","8,286","7,130","1,156",14
1027,AL,"Clay County, AL","5,390","4,933",457,8.5
1029,AL,"Cleburne County, AL","5,825","5,372",453,7.8
1031,AL,"Coffee County, AL","20,495","19,065","1,430",7
1033,AL,"Colbert County, AL","23,879","21,891","1,988",8.3
1035,AL,"Conecuh County, AL","4,694","4,183",511,10.9
1037,AL,"Coosa County, AL","4,449","4,036",413,9.3
1039,AL,"Covington County, AL","16,055","14,737","1,318",8.2
1041,AL,"Crenshaw County, AL","6,306","5,817",489,7.8
1043,AL,"Cullman County, AL","35,750","33,333","2,417",6.8
1045,AL,"Dale County, AL","20,732","19,180","1,552",7.5
1047,AL,"Dallas County, AL","16,290","14,270","2,020",12.4
1049,AL,"DeKalb County, AL","29,011","26,768","2,243",7.7
1051,AL,"Elmore County, AL","36,888","34,585","2,303",6.2
1053,AL,"Escambia County, AL","14,281","13,037","1,244",8.7
1055,AL,"Etowah County, AL","43,830","40,453","3,377",7.7
1057,AL,"Fayette County, AL","6,401","5,862",539,8.4
1059,AL,"Franklin County, AL","13,668","12,552","1,116",8.2
1061,AL,"Geneva County, AL","11,035","10,255",780,7.1
1063,AL,"Greene County, AL","2,996","2,608",388,13
1065,AL,"Hale County, AL","6,206","5,475",731,11.8
1067,AL,"Henry County, AL","6,950","6,407",543,7.8
1069,AL,"Houston County, AL","45,669","42,463","3,206",7
1071,AL,"Jackson County, AL","23,669","21,776","1,893",8
1073,AL,"Jefferson County, AL","315,102","293,809","21,293",6.8
1075,AL,"Lamar County, AL","5,795","5,383",412,7.1
1077,AL,"Lauderdale County, AL","43,109","39,999","3,110",7.2
1079,AL,"Lawrence County, AL","14,273","13,066","1,207",8.5
1081,AL,"Lee County, AL","70,447","66,242","4,205",6
1083,AL,"Limestone County, AL","39,391","36,891","2,500",6.3
1085,AL,"Lowndes County, AL","4,010","3,436",574,14.3
1087,AL,"Macon County, AL","8,410","7,587",823,9.8
1089,AL,"Madison County, AL","171,178","160,213","10,965",6.4
1091,AL,"Marengo County, AL","7,628","6,940",688,9
1093,AL,"Marion County, AL","12,477","11,475","1,002",8
1095,AL,"Marshall County, AL","40,573","37,762","2,811",6.9
1097,AL,"Mobile County, AL","186,932","170,729","16,203",8.7
1099,AL,"Monroe County, AL","7,764","6,829",935,12
1101,AL,"Montgomery County, AL","106,274","98,405","7,869",7.4
1103,AL,"Morgan County, AL","56,951","52,979","3,972",7
1105,AL,"Perry County, AL","3,566","3,077",489,13.7
1107,AL,"Pickens County, AL","7,415","6,713",702,9.5
1109,AL,"Pike County, AL","14,911","13,755","1,156",7.8
1111,AL,"Randolph County, AL","9,205","8,480",725,7.9
1113,AL,"Russell County, AL","24,999","23,160","1,839",7.4
1115,AL,"St. Clair County, AL","38,792","36,379","2,413",6.2
1117,AL,"Shelby County, AL","106,861","101,840","5,021",4.7
1119,AL,"Sumter County, AL","5,459","4,959",500,9.2
1121,AL,"Talladega County, AL","35,747","32,632","3,115",8.7
1123,AL,"Tallapoosa County, AL","18,384","16,874","1,510",8.2
1125,AL,"Tuscaloosa County, AL","95,579","89,414","6,165",6.5
1127,AL,"Walker County, AL","26,347","24,086","2,261",8.6
1129,AL,"Washington County, AL","6,711","5,972",739,11
1131,AL,"Wilcox County, AL","2,782","2,239",543,19.5
1133,AL,"Winston County, AL","9,638","8,719",919,9.5
2000,AK,Alaska,"363,544","338,104","25,440",7
2013,AK,"Aleutians East Borough, AK","2,207","2,073",134,6.1
2016,AK,"Aleutians West Census Area, AK","4,252","3,957",295,6.9
2020,AK,"Anchorage Borough/municipality, AK","157,637","149,423","8,214",5.2
2050,AK,"Bethel Census Area, AK","7,390","6,193","1,197",16.2
2060,AK,"Bristol Bay Borough, AK",489,445,44,9
2063,AK,"Chugach Census Area, AK",,,,
2066,AK,"Copper River Census Area, AK",,,,
2068,AK,"Denali Borough, AK","1,072",937,135,12.6
2070,AK,"Dillingham Census Area, AK","2,123","1,906",217,10.2
2090,AK,"Fairbanks North Star Borough, AK","47,057","44,292","2,765",5.9
2100,AK,"Haines Borough, AK","1,136","1,021",115,10.1
2105,AK,"Hoonah-Angoon Census Area, AK","1,119",954,165,14.7
2110,AK,"Juneau Borough/city, AK","17,504","16,619",885,5.1
2122,AK,"Kenai Peninsula Borough, AK","27,699","25,463","2,236",8.1
2130,AK,"Ketchikan Gateway Borough, AK","7,132","6,572",560,7.9
2150,AK,"Kodiak Island Borough, AK","6,563","6,153",410,6.2
2158,AK,"Kusilvak Census Area, AK","2,771","2,114",657,23.7
2164,AK,"Lake and Peninsula Borough, AK",635,536,99,15.6
2170,AK,"Matanuska-Susitna Borough, AK","43,718","40,053","3,665",8.4
2180,AK,"Nome Census Area, AK","4,123","3,613",510,12.4
2185,AK,"North Slope Borough, AK","4,052","3,753",299,7.4
2188,AK,"Northwest Arctic Borough, AK","3,054","2,551",503,16.5
2195,AK,"Petersburg Borough, AK","1,650","1,507",143,8.7
2198,AK,"Prince of Wales-Hyder Census Area, AK","2,799","2,456",343,12.3
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,,,
2220,AK,"Sitka Borough/city, AK","4,601","4,348",253,5.5
2230,AK,"Skagway Municipality, AK",790,692,98,12.4
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,,,
2240,AK,"Southeast Fairbanks Census Area, AK","2,999","2,604",395,13.2
2261,AK,"Valdez-Cordova Census Area, AK","4,910","4,421",489,10
2275,AK,"Wrangell Borough/city, AK","1,054",969,85,8.1
2280,AK,"Wrangell-Petersburg Census Area, AK",,,,
2282,AK,"Yakutat Borough/city, AK",284,257,27,9.5
2290,AK,"Yukon-Koyukuk Census Area, AK","2,723","2,223",500,18.4
4000,AZ,Arizona,"3,064,554","2,825,341","239,213",7.8
4001,AZ,"Apache County, AZ","22,104","18,009","4,095",18.5
4003,AZ,"Cochise County, AZ","51,900","47,097","4,803",9.3
4005,AZ,"Coconino County, AZ","71,698","65,825","5,873",8.2
4007,AZ,"Gila County, AZ","21,148","19,098","2,050",9.7
4009,AZ,"Graham County, AZ","14,441","13,317","1,124",7.8
4011,AZ,"Greenlee County, AZ","4,632","4,358",274,5.9
4012,AZ,"La Paz County, AZ","8,121","7,453",668,8.2
4013,AZ,"Maricopa County, AZ","1,929,092","1,801,272","127,820",6.6
4015,AZ,"Mohave County, AZ","77,748","69,643","8,105",10.4
4017,AZ,"Navajo County, AZ","42,434","36,681","5,753",13.6
4019,AZ,"Pima County, AZ","462,267","430,789","31,478",6.8
4021,AZ,"Pinal County, AZ","150,007","137,820","12,187",8.1
4023,AZ,"Santa Cruz County, AZ","20,355","17,210","3,145",15.5
4025,AZ,"Yavapai County, AZ","92,659","85,427","7,232",7.8
4027,AZ,"Yuma County, AZ","95,948","71,342","24,606",25.6
5000,AR,Arkansas,"1,331,609","1,237,609","94,000",7.1
5001,AR,"Arkansas County, AR","9,647","8,959",688,7.1
5003,AR,"Ashley County, AR","9,154","8,204",950,10.4
5005,AR,"Baxter County, AR","16,158","14,890","1,268",7.8
5007,AR,"Benton County, AR","112,548","106,367","6,181",5.5
5009,AR,"Boone County, AR","16,140","15,037","1,103",6.8
5011,AR,"Bradley County, AR","4,298","3,900",398,9.3
5013,AR,"Calhoun County, AR","2,453","2,259",194,7.9
5015,AR,"Carroll County, AR","12,360","11,637",723,5.8
5017,AR,"Chicot County, AR","3,863","3,425",438,11.3
5019,AR,"Clark County, AR","10,155","9,280",875,8.6
5021,AR,"Clay County, AR","6,562","5,938",624,9.5
5023,AR,"Cleburne County, AR","10,093","9,253",840,8.3
5025,AR,"Cleveland County, AR","3,620","3,353",267,7.4
5027,AR,"Columbia County, AR","9,755","8,920",835,8.6
5029,AR,"Conway County, AR","8,698","7,917",781,9
5031,AR,"Craighead County, AR","49,628","46,453","3,175",6.4
5033,AR,"Crawford County, AR","27,208","25,179","2,029",7.5
5035,AR,"Crittenden County, AR","21,653","19,886","1,767",8.2
5037,AR,"Cross County, AR","8,254","7,645",609,7.4
5039,AR,"Dallas County, AR","3,054","2,742",312,10.2
5041,AR,"Desha County, AR","5,682","5,147",535,9.4
5043,AR,"Drew County, AR","8,340","7,556",784,9.4
5045,AR,"Faulkner County, AR","59,652","55,878","3,774",6.3
5047,AR,"Franklin County, AR","7,466","6,965",501,6.7
5049,AR,"Fulton County, AR","4,946","4,613",333,6.7
5051,AR,"Garland County, AR","41,064","38,029","3,035",7.4
5053,AR,"Grant County, AR","8,322","7,791",531,6.4
5055,AR,"Greene County, AR","19,525","18,024","1,501",7.7
5057,AR,"Hempstead County, AR","10,184","9,466",718,7.1
5059,AR,"Hot Spring County, AR","14,238","13,228","1,010",7.1
5061,AR,"Howard County, AR","6,295","5,903",392,6.2
5063,AR,"Independence County, AR","15,889","14,492","1,397",8.8
5065,AR,"Izard County, AR","5,029","4,606",423,8.4
5067,AR,"Jackson County, AR","6,309","5,638",671,10.6
5069,AR,"Jefferson County, AR","31,183","28,041","3,142",10.1
5071,AR,"Johnson County, AR","10,631","9,839",792,7.4
5073,AR,"Lafayette County, AR","2,790","2,531",259,9.3
5075,AR,"Lawrence County, AR","7,188","6,567",621,8.6
5077,AR,"Lee County, AR","3,330","3,028",302,9.1
5079,AR,"Lincoln County, AR","4,378","4,023",355,8.1
5081,AR,"Little River County, AR","5,741","5,315",426,7.4
5083,AR,"Logan County, AR","9,298","8,593",705,7.6
5085,AR,"Lonoke County, AR","32,996","31,033","1,963",5.9
5087,AR,"Madison County, AR","6,900","6,510",390,5.7
5089,AR,"Marion County, AR","6,549","6,059",490,7.5
5091,AR,"Miller County, AR","19,673","18,441","1,232",6.3
5093,AR,"Mississippi County, AR","19,088","16,978","2,110",11.1
5095,AR,"Monroe County, AR","3,141","2,873",268,8.5
5097,AR,"Montgomery County, AR","3,459","3,177",282,8.2
5099,AR,"Nevada County, AR","3,812","3,526",286,7.5
5101,AR,"Newton County, AR","3,511","3,274",237,6.8
5103,AR,"Ouachita County, AR","10,380","9,406",974,9.4
5105,AR,"Perry County, AR","4,385","3,986",399,9.1
5107,AR,"Phillips County, AR","7,633","6,785",848,11.1
5109,AR,"Pike County, AR","4,260","3,898",362,8.5
5111,AR,"Poinsett County, AR","10,198","9,360",838,8.2
5113,AR,"Polk County, AR","8,545","7,950",595,7
5115,AR,"Pope County, AR","29,901","27,768","2,133",7.1
5117,AR,"Prairie County, AR","3,827","3,564",263,6.9
5119,AR,"Pulaski County, AR","187,838","175,881","11,957",6.4
5121,AR,"Randolph County, AR","6,727","6,103",624,9.3
5123,AR,"St. Francis County, AR","9,220","8,284",936,10.2
5125,AR,"Saline County, AR","55,120","52,011","3,109",5.6
5127,AR,"Scott County, AR","4,656","4,373",283,6.1
5129,AR,"Searcy County, AR","3,143","2,899",244,7.8
5131,AR,"Sebastian County, AR","58,482","54,232","4,250",7.3
5133,AR,"Sevier County, AR","6,018","5,533",485,8.1
5135,AR,"Sharp County, AR","6,050","5,475",575,9.5
5137,AR,"Stone County, AR","4,826","4,430",396,8.2
5139,AR,"Union County, AR","16,740","15,338","1,402",8.4
5141,AR,"Van Buren County, AR","6,530","5,910",620,9.5
5143,AR,"Washington County, AR","107,521","101,904","5,617",5.2
5145,AR,"White County, AR","35,304","32,619","2,685",7.6
5147,AR,"Woodruff County, AR","3,254","2,953",301,9.3
5149,AR,"Yell County, AR","9,142","8,559",583,6.4
6000,CA,California,"18,565,408","16,887,864","1,677,544",9
6001,CA,"Alameda County, CA","799,847","741,222","58,625",7.3
6003,CA,"Alpine County, CA",523,472,51,9.8
6005,CA,"Amador County, CA","14,400","12,897","1,503",10.4
6007,CA,"Butte County, CA","101,408","90,829","10,579",10.4
6009,CA,"Calaveras County, CA","20,187","18,157","2,030",10.1
6011,CA,"Colusa County, CA","11,268","9,113","2,155",19.1
6013,CA,"Contra Costa County, CA","536,032","495,293","40,739",7.6
6015,CA,"Del Norte County, CA","10,298","9,064","1,234",12
6017,CA,"El Dorado County, CA","88,281","80,677","7,604",8.6
6019,CA,"Fresno County, CA","436,620","378,042","58,578",13.4
6021,CA,"Glenn County, CA","12,950","11,364","1,586",12.2
6023,CA,"Humboldt County, CA","62,830","57,671","5,159",8.2
6025,CA,"Imperial County, CA","78,165","58,391","19,774",25.3
6027,CA,"Inyo County, CA","9,356","8,613",743,7.9
6029,CA,"Kern County, CA","392,205","345,564","46,641",11.9
6031,CA,"Kings County, CA","58,029","50,148","7,881",13.6
6033,CA,"Lake County, CA","29,163","25,944","3,219",11
6035,CA,"Lassen County, CA","10,968","9,791","1,177",10.7
6037,CA,"Los Angeles County, CA","4,955,806","4,471,400","484,406",9.8
