,STATE,Abbe,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,,Alabama,AL
45627,Alabama,AL,9717,AUTAUGA COUNTY SCHOOL DISTRICT,2013,79651,7259,51182,21210,77028,42480,21483,6996,4563,,Alaska,AK
45628,Alabama,AL,29419,BALDWIN COUNTY SCHOOL DISTRICT,2013,294249,22266,122616,149367,264079,139820,85770,17963,11220,,Arizona,AZ
45629,Alabama,AL,1061,BARBOUR COUNTY SCHOOL DISTRICT,2013,10444,2650,5850,1944,10628,5318,3858,1223,0,,Arkansas,AR
45630,Alabama,AL,2805,EUFAULA CITY SCHOOL DISTRICT,2013,24320,3588,14592,6140,24630,13974,7149,2276,1192,,California,CA
45631,Alabama,AL,3475,BIBB COUNTY SCHOOL DISTRICT,2013,31799,3909,21660,6230,30276,16113,9405,3184,725,,Colorado,CO
45632,Alabama,AL,8341,BLOUNT COUNTY SCHOOL DISTRICT,2013,67328,6812,47058,13458,65016,36785,21422,5487,744,,Connecticut,CT
45633,Alabama,AL,1465,ONEONTA CITY SCHOOL DISTRICT,2013,12624,955,8084,3585,12396,6818,3521,1582,283,,Delaware,DE
45634,Alabama,AL,1524,BULLOCK COUNTY SCHOOL DISTRICT,2013,16766,4936,9207,2623,17485,8064,7106,1594,529,,Florida,FL
45635,Alabama,AL,3245,BUTLER COUNTY SCHOOL DISTRICT,2013,32714,6702,17931,8081,32217,16169,10014,2711,1728,,Georgia,GA
45636,Alabama,AL,2051,ANNISTON CITY SCHOOL DISTRICT,2013,22822,4324,11321,7177,24274,11817,9868,2090,469,,Hawaii,HI
45637,Alabama,AL,9300,CALHOUN COUNTY SCHOOL DISTRICT,2013,80916,7918,51835,21163,81008,42650,29884,6675,1552,,Idaho,ID
45638,Alabama,AL,1531,JACKSONVILLE CITY SCHOOL DISTRICT,2013,15232,1073,8687,5472,14539,9198,4208,970,74,,Illinois,IL
45639,Alabama,AL,1216,PIEDMONT CITY SCHOOL DISTRICT,2013,11167,1407,6708,3052,10388,5925,3346,879,183,,Indiana,IN
45640,Alabama,AL,4140,OXFORD CITY SCHOOL DISTRICT,2013,40179,3003,21263,15913,41486,21958,12087,2768,3070,,Iowa,IA
45641,Alabama,AL,3891,CHAMBERS COUNTY SCHOOL DISTRICT,2013,34066,4646,21188,8232,32621,17920,10932,2955,465,,Kansas,KS
45642,Alabama,AL,842,LANETT CITY SCHOOL DISTRICT,2013,8232,1621,4933,1678,8093,4546,2438,898,170,,Kentucky,KY
45643,Alabama,AL,4123,CHEROKEE COUNTY SCHOOL DISTRICT,2013,38672,4679,22569,11424,38416,20040,12469,3851,1252,,Louisiana,LA
45644,Alabama,AL,7663,CHILTON COUNTY SCHOOL DISTRICT,2013,62863,8101,41512,13250,60541,35890,18087,5733,488,,Maine,ME
45645,Alabama,AL,1721,CHOCTAW COUNTY SCHOOL DISTRICT,2013,17899,2585,9279,6035,17531,7416,6788,1715,83,,Maryland,MD
45646,Alabama,AL,3224,CLARKE COUNTY SCHOOL DISTRICT,2013,28647,4303,17462,6882,28661,15049,9925,3059,174,,Massachusetts,MA
45647,Alabama,AL,1491,THOMASVILLE CITY SCHOOL DISTRICT,2013,13851,1488,8329,4034,13574,6949,4919,1178,430,,Michigan,MI
45648,Alabama,AL,2058,CLAY COUNTY SCHOOL DISTRICT,2013,17710,2262,11973,3475,20891,10159,5448,1709,3172,,Minnesota,MN
45649,Alabama,AL,2665,CLEBURNE COUNTY SCHOOL DISTRICT,2013,23412,2767,16097,4548,23311,12885,7367,2309,163,,Mississippi,MS
