leaid,year,fips,district_id,district_name,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
100190,2013,1,190,Alabaster City School District,31754,6475,733,0.113204636,0.20391132
100005,2013,1,5,Albertville City School District,21522,4010,1563,0.38977557,0.18632098
100030,2013,1,30,Alexander City City School District,17292,2719,1158,0.42589188,0.15724035
100060,2013,1,60,Andalusia City School District,9044,1512,471,0.31150794,0.16718267
100090,2013,1,90,Anniston City School District,22759,3304,1122,0.33958837,0.14517334
100100,2013,1,100,Arab City School District,8238,1491,250,0.16767271,0.18099053
100120,2013,1,120,Athens City School District,23494,3767,770,0.2044067,0.1603388
100180,2013,1,180,Attalla City School District,6019,971,283,0.2914521,0.16132247
100210,2013,1,210,Auburn City School District,57441,7120,994,0.13960674,0.123953275
100240,2013,1,240,Autauga County School District,55246,10643,1855,0.17429297,0.19264743
100270,2013,1,270,Baldwin County School District,195540,32652,6171,0.18899302,0.16698374
100300,2013,1,300,Barbour County School District,14124,1769,759,0.42905596,0.1252478
100330,2013,1,330,Bessemer City School District,27510,4765,2009,0.42161596,0.17320974
100360,2013,1,360,Bibb County School District,22512,3590,1096,0.3052925,0.1594705
100390,2013,1,390,Birmingham City School District,212631,30718,12740,0.41474053,0.14446624
100420,2013,1,420,Blount County School District,51246,9201,2218,0.24106075,0.17954572
100012,2013,1,12,Boaz City School District,9619,1742,464,0.2663605,0.1810999
100450,2013,1,450,Brewton City School District,5354,866,279,0.3221709,0.16174823
100480,2013,1,480,Bullock County School District,10639,1565,684,0.4370607,0.14710028
100510,2013,1,510,Butler County School District,20265,3494,1430,0.40927303,0.1724155
100540,2013,1,540,Calhoun County School District,56502,9945,2162,0.21739568,0.17601147
100600,2013,1,600,Chambers County School District,27696,4343,1348,0.3103845,0.15680964
100630,2013,1,630,Cherokee County School District,26203,4163,1184,0.28441027,0.15887494
100188,2013,1,188,Chickasaw City School District,6120,1028,443,0.43093386,0.16797386
100660,2013,1,660,Chilton County School District,43951,7767,2503,0.32226086,0.17671953
100690,2013,1,690,Choctaw County School District,13426,2160,616,0.2851852,0.16088188
100720,2013,1,720,Clarke County School District,19459,3399,1146,0.337158,0.17467496
100750,2013,1,750,Clay County School District,13486,2195,604,0.27517083,0.16276138
100780,2013,1,780,Cleburne County School District,14631,2505,637,0.25429142,0.17121181
100810,2013,1,810,Coffee County School District,18996,3302,719,0.21774682,0.17382607
100840,2013,1,840,Colbert County School District,23763,3740,947,0.25320855,0.15738754
100870,2013,1,870,Conecuh County School District,12887,2122,843,0.39726672,0.16466206
100900,2013,1,900,Coosa County School District,10898,1557,439,0.28195247,0.14287025
100930,2013,1,930,Covington County School District,22163,3506,745,0.21249287,0.15819158
100960,2013,1,960,Crenshaw County School District,13986,2350,693,0.29489362,0.16802517
100990,2013,1,990,Cullman City School District,14740,2313,555,0.23994812,0.15691994
101020,2013,1,1020,Cullman County School District,66044,11111,2083,0.18747188,0.16823633
101050,2013,1,1050,Dale County School District,15140,2540,635,0.25,0.16776751
101080,2013,1,1080,Daleville City School District,11422,1883,573,0.30430165,0.1648573
101110,2013,1,1110,Dallas County School District,22104,4098,1860,0.45387995,0.18539631
101140,2013,1,1140,DeKalb County School District,56920,10543,2800,0.26557904,0.18522488
101170,2013,1,1170,Decatur City School District,55850,9364,2657,0.28374627,0.16766338
101200,2013,1,1200,Demopolis City School District,7172,1259,766,0.60841936,0.17554379
101230,2013,1,1230,Dothan City School District,67258,11608,3349,0.28850794,0.17258914
101260,2013,1,1260,Elba City School District,5282,830,322,0.38795182,0.15713745
101290,2013,1,1290,Elmore County School District,73612,12654,2392,0.18903114,0.17190132
101320,2013,1,1320,Enterprise City School District,27130,4813,1228,0.25514233,0.17740509
101350,2013,1,1350,Escambia County School District,32629,5146,1786,0.3470657,0.15771246
101380,2013,1,1380,Etowah County School District,60104,10265,1937,0.18869947,0.1707873
101410,2013,1,1410,Eufaula City School District,12952,2368,924,0.3902027,0.1828289
101440,2013,1,1440,Fairfield City School District,11136,1893,623,0.32910722,0.16998923
101470,2013,1,1470,Fayette County School District,15629,2521,670,0.26576754,0.1613027
101530,2013,1,1530,Florence City School District,39376,5393,1675,0.3105878,0.1369616
101560,2013,1,1560,Fort Payne City School District,14093,2559,892,0.34857365,0.1815795
100001,2013,1,1,Fort Rucker School District,4613,935,116,0.12406417,0.20268805
101590,2013,1,1590,Franklin County School District,21752,3812,1112,0.29171038,0.17524825
101620,2013,1,1620,Gadsden City School District,36704,5674,2012,0.35459992,0.15458806
101640,2013,1,1640,Geneva City School District,6274,1001,368,0.36763236,0.15954734
101660,2013,1,1660,Geneva County School District,20453,3396,1190,0.35041225,0.16603921
101680,2013,1,1680,Greene County School District,8744,1503,701,0.46640053,0.17188929
101690,2013,1,1690,Guntersville City School District,8350,1305,318,0.24367817,0.15628743
101710,2013,1,1710,Hale County School District,15406,2632,982,0.3731003,0.17084253
101720,2013,1,1720,Haleyville City School District,8530,1397,441,0.31567645,0.16377491
101730,2013,1,1730,Hartselle City School District,13887,2544,356,0.1399371,0.18319291
101740,2013,1,1740,Henry County School District,17289,2752,739,0.26853198,0.15917635
101760,2013,1,1760,Homewood City School District,25208,3836,501,0.1306048,0.1521739
100007,2013,1,7,Hoover City School District,82139,14792,1409,0.09525419,0.18008497
101770,2013,1,1770,Houston County School District,37625,6857,1824,0.26600555,0.18224585
101800,2013,1,1800,Huntsville City School District,179676,26597,6253,0.2351017,0.14802755
101830,2013,1,1830,Jackson County School District,38258,6429,1819,0.2829367,0.16804329
101860,2013,1,1860,Jacksonville City School District,12360,1564,597,0.38171357,0.12653722
101890,2013,1,1890,Jasper City School District,14166,2178,650,0.29843894,0.15374841
101920,2013,1,1920,Jefferson County School District,231185,39161,7112,0.18160926,0.16939248
101950,2013,1,1950,Lamar County School District,14236,2414,663,0.2746479,0.1695701
101980,2013,1,1980,Lanett City School District,6466,978,466,0.47648263,0.1512527
102010,2013,1,2010,Lauderdale County School District,53421,8880,1567,0.17646396,0.16622676
102040,2013,1,2040,Lawrence County School District,33587,5512,1393,0.25272134,0.16411111
102070,2013,1,2070,Lee County School District,60594,11371,1764,0.15513147,0.18765885
100011,2013,1,11,Leeds City School District,11854,1745,442,0.25329512,0.14720769
102100,2013,1,2100,Limestone County School District,61554,10606,1984,0.18706393,0.17230399
102130,2013,1,2130,Linden City School District,4519,662,372,0.5619335,0.14649259
102160,2013,1,2160,Lowndes County School District,10703,1793,902,0.5030675,0.16752313
102190,2013,1,2190,Macon County School District,19688,2752,1139,0.41388083,0.13978058
100008,2013,1,8,Madison City School District,44617,9559,785,0.08212156,0.21424569
102220,2013,1,2220,Madison County School District,126306,23154,3128,0.13509545,0.18331671
102250,2013,1,2250,Marengo County School District,8464,1511,860,0.5691595,0.1785208
102310,2013,1,2310,Marion County School District,24516,3883,1142,0.2941025,0.15838636
100006,2013,1,6,Marshall County School District,48162,8607,2136,0.2481701,0.17870936
100003,2013,1,3,Maxwell AFB School District,2484,255,48,0.1882353,0.102657005
102350,2013,1,2350,Midfield City School District,5372,1116,399,0.35752687,0.20774385
102370,2013,1,2370,Mobile County School District,388323,67973,19338,0.28449532,0.17504242
102400,2013,1,2400,Monroe County School District,22236,4050,1423,0.35135803,0.18213707
102430,2013,1,2430,Montgomery County School District,224175,39155,11701,0.29883796,0.17466265
102480,2013,1,2480,Morgan County School District,50140,8563,1596,0.18638328,0.1707818
102490,2013,1,2490,Mountain Brook City School District,20519,4732,292,0.061707523,0.23061553
102520,2013,1,2520,Muscle Shoals City School District,13113,2294,373,0.16259809,0.1749409
102550,2013,1,2550,Oneonta City School District,6626,1042,230,0.22072937,0.15725929
102580,2013,1,2580,Opelika City School District,28428,4972,1662,0.33427194,0.17489798
102610,2013,1,2610,Opp City School District,6679,1123,423,0.37666965,0.16813894
102635,2013,1,2635,Oxford City School District,22966,4163,950,0.22820082,0.18126796
102640,2013,1,2640,Ozark City School District,17031,2926,712,0.2433356,0.17180435
102650,2013,1,2650,Pell City City School District,28612,4878,1072,0.21976219,0.17048791
102670,2013,1,2670,Perry County School District,10020,1709,836,0.48917496,0.17055888
102700,2013,1,2700,Phenix City City School District,36785,6669,2173,0.32583594,0.18129672
102730,2013,1,2730,Pickens County School District,19401,3177,1107,0.34844193,0.16375445
102760,2013,1,2760,Piedmont City School District,6579,1108,365,0.32942238,0.16841465
102790,2013,1,2790,Pike County School District,14916,2377,790,0.3323517,0.15935908
102820,2013,1,2820,Randolph County School District,16703,2652,760,0.28657618,0.15877387
102850,2013,1,2850,Roanoke City School District,6024,1094,426,0.3893967,0.1816069
102880,2013,1,2880,Russell County School District,27270,4583,1483,0.32358718,0.16806014
102910,2013,1,2910,Russellville City School District,9780,1769,740,0.41831544,0.18087934
100185,2013,1,185,Saraland City School District,13454,2201,487,0.22126307,0.16359447
100189,2013,1,189,Satsuma City School District,6182,1064,174,0.16353384,0.17211258
102940,2013,1,2940,Scottsboro City School District,14693,2311,605,0.26179144,0.15728578
102970,2013,1,2970,Selma City School District,19892,3799,2065,0.5435641,0.1909813
103000,2013,1,3000,Sheffield City School District,9054,1377,463,0.3362382,0.15208748
103030,2013,1,3030,Shelby County School District,146683,26915,3046,0.11317109,0.18349093
103062,2013,1,3062,St. Clair County School District,55280,9388,1843,0.19631444,0.16982634
103090,2013,1,3090,Sumter County School District,13361,2020,889,0.440099,0.15118629
103120,2013,1,3120,Sylacauga City School District,12677,2208,702,0.31793478,0.1741737
103150,2013,1,3150,Talladega City School District,15848,2561,788,0.30769232,0.16159768
103180,2013,1,3180,Talladega County School District,48504,7971,1977,0.24802409,0.16433696
103210,2013,1,3210,Tallapoosa County School District,22219,3401,1143,0.33607763,0.1530672
103240,2013,1,3240,Tallassee City School District,8982,1583,339,0.21415035,0.17624137
103270,2013,1,3270,Tarrant City School District,6405,1304,604,0.4631902,0.20359094
103300,2013,1,3300,Thomasville City School District,5748,1019,277,0.27183512,0.17727906
103330,2013,1,3330,Troy City School District,18423,2309,729,0.3157211,0.12533246
100013,2013,1,13,Trussville City School District,19565,3793,291,0.076720275,0.1938666
103360,2013,1,3360,Tuscaloosa City School District,92396,11185,3322,0.2970049,0.12105502
103390,2013,1,3390,Tuscaloosa County School District,108425,19076,3432,0.17991193,0.17593728
103420,2013,1,3420,Tuscumbia City School District,8590,1315,306,0.23269962,0.15308498
103430,2013,1,3430,Vestavia Hills City School District,34114,6357,423,0.06654082,0.18634579
103450,2013,1,3450,Walker County School District,51832,8600,2429,0.28244185,0.16592066
103480,2013,1,3480,Washington County School District,16877,2999,767,0.2557519,0.17769746
103510,2013,1,3510,Wilcox County School District,11307,2199,1002,0.45566165,0.1944813
103540,2013,1,3540,Winfield City School District,6595,1056,232,0.21969697,0.1601213
103580,2013,1,3580,Winston County School District,16119,2577,741,0.28754365,0.15987344
200050,2013,2,50,Alaska Gateway School District,2332,403,82,0.20347394,0.17281304
200010,2013,2,10,Aleutian Region School District,599,30,4,0.13333334,0.050083473
200007,2013,2,7,Aleutians East Borough School District,3092,237,27,0.11392405,0.07664942
200180,2013,2,180,Anchorage School District,300950,53216,4994,0.09384396,0.17682672
200525,2013,2,525,Annette Island School District,1520,290,58,0.2,0.19078948
200020,2013,2,20,Bering Strait School District,6142,1600,489,0.305625,0.26050147
200030,2013,2,30,Bristol Bay Borough School District,960,151,14,0.09271523,0.15729167
200730,2013,2,730,Chatham School District,1299,174,41,0.23563218,0.13394919
200800,2013,2,800,Chugach School District,474,66,24,0.36363637,0.1392405
200070,2013,2,70,Copper River School District,2863,534,76,0.1423221,0.18651764
200060,2013,2,60,Cordova City School District,2269,402,16,0.039800994,0.17717056
200090,2013,2,90,Craig City School District,1250,240,71,0.29583332,0.192
200100,2013,2,100,Delta/Greely School District,4780,847,182,0.21487603,0.17719665
200770,2013,2,770,Denali Borough School District,1867,289,10,0.034602076,0.15479378
200120,2013,2,120,Dillingham City School District,2407,455,80,0.17582418,0.18903199
200600,2013,2,600,Fairbanks North Star Borough School District,100436,16904,1730,0.10234264,0.16830619
200130,2013,2,130,Galena City School District,479,103,18,0.17475729,0.21503131
200270,2013,2,270,Haines Borough School District,2592,379,61,0.16094987,0.14621913
200300,2013,2,300,Hoonah City School District,757,108,34,0.3148148,0.14266843
200330,2013,2,330,Hydaburg City School District,390,71,12,0.16901408,0.18205129
200520,2013,2,520,Iditarod Area School District,1124,225,48,0.21333334,0.20017794
200210,2013,2,210,Juneau Borough School District,32660,5351,421,0.07867688,0.16383956
200360,2013,2,360,Kake City School District,551,90,18,0.2,0.16333938
200005,2013,2,5,Kashunamiut School District,1003,290,119,0.41034484,0.2891326
200390,2013,2,390,Kenai Peninsula Borough School District,57147,9487,1185,0.12490777,0.16601047
200150,2013,2,150,Ketchikan Gateway Borough School District,13729,2223,273,0.12280702,0.16192003
200450,2013,2,450,Klawock City School District,786,156,32,0.20512821,0.19847329
200480,2013,2,480,Kodiak Island Borough School District,14135,2667,231,0.08661418,0.18868057
200760,2013,2,760,Kuspuk School District,1468,339,96,0.28318584,0.23092642
200485,2013,2,485,Lake And Peninsula School District,1648,340,76,0.22352941,0.20631067
200001,2013,2,1,Lower Kuskokwim School District,14839,3728,1028,0.27575108,0.25122985
200003,2013,2,3,Lower Yukon School District,6432,1811,715,0.39480948,0.28156096
200510,2013,2,510,Matanuska-Susitna Borough School District,95192,19340,1940,0.100310236,0.20316833
200540,2013,2,540,Nenana City School District,385,68,12,0.1764706,0.17662337
200570,2013,2,570,Nome School District,3750,722,123,0.17036012,0.19253333
200610,2013,2,610,North Slope Borough School District,9686,1651,249,0.15081769,0.17045219
200625,2013,2,625,Northwest Arctic Borough School District,7685,1848,497,0.2689394,0.24046844
200630,2013,2,630,Pelican City School District,88,11,3,0.27272728,0.125
200660,2013,2,660,Petersburg Borough School District,3169,524,51,0.097328246,0.16535185
200670,2013,2,670,Pribilof School District,576,93,5,0.05376344,0.16145833
200240,2013,2,240,Sitka Borough School District,9020,1474,155,0.10515604,0.16341463
200690,2013,2,690,Skagway School District,995,75,5,0.06666667,0.07537688
200700,2013,2,700,Southeast Island School District,1895,283,48,0.1696113,0.14934038
200710,2013,2,710,Southwest Region School District,2603,622,213,0.34244373,0.23895505
200680,2013,2,680,St. Marys City School District,542,144,47,0.3263889,0.26568267
200715,2013,2,715,Tanana School District,251,48,10,0.20833333,0.19123507
200720,2013,2,720,Unalaska City School District,4336,396,26,0.065656565,0.09132841
200780,2013,2,780,Valdez City School District,4029,740,37,0.05,0.1836684
200810,2013,2,810,Wrangell City School District,2400,398,68,0.17085427,0.16583334
200840,2013,2,840,Yakutat City School District,642,91,23,0.25274727,0.14174455
200775,2013,2,775,Yukon Flats School District,1467,265,85,0.3207547,0.18064076
200862,2013,2,862,Yukon-Koyukuk School District,2036,377,120,0.3183024,0.185167
200004,2013,2,4,Yupiit School District,1405,364,136,0.37362638,0.25907475
