Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
01,000,Alabama," 905,604 "
01,001,"Autauga County, AL"," 8,055 "
01,003,"Baldwin County, AL"," 24,402 "
01,005,"Barbour County, AL"," 6,740 "
01,007,"Bibb County, AL"," 4,175 "
01,009,"Blount County, AL"," 9,037 "
01,011,"Bullock County, AL"," 2,966 "
01,013,"Butler County, AL"," 5,451 "
01,015,"Calhoun County, AL"," 25,918 "
01,017,"Chambers County, AL"," 7,624 "
01,019,"Cherokee County, AL"," 5,434 "
01,021,"Chilton County, AL"," 9,205 "
01,023,"Choctaw County, AL"," 3,519 "
01,025,"Clarke County, AL"," 6,970 "
01,027,"Clay County, AL"," 2,319 "
01,029,"Cleburne County, AL"," 2,805 "
01,031,"Coffee County, AL"," 7,215 "
01,033,"Colbert County, AL"," 9,869 "
01,035,"Conecuh County, AL"," 3,914 "
01,037,"Coosa County, AL"," 1,978 "
01,039,"Covington County, AL"," 8,074 "
01,041,"Crenshaw County, AL"," 2,997 "
01,043,"Cullman County, AL"," 12,811 "
01,045,"Dale County, AL"," 10,858 "
01,047,"Dallas County, AL"," 17,240 "
01,049,"DeKalb County, AL"," 15,364 "
01,051,"Elmore County, AL"," 12,839 "
01,053,"Escambia County, AL"," 10,047 "
01,055,"Etowah County, AL"," 18,609 "
01,057,"Fayette County, AL"," 3,894 "
01,059,"Franklin County, AL"," 6,764 "
01,061,"Geneva County, AL"," 6,283 "
01,063,"Greene County, AL"," 3,308 "
01,065,"Hale County, AL"," 4,440 "
01,067,"Henry County, AL"," 3,429 "
01,069,"Houston County, AL"," 19,952 "
01,071,"Jackson County, AL"," 9,585 "
01,073,"Jefferson County, AL"," 125,294 "
01,075,"Lamar County, AL"," 3,131 "
01,077,"Lauderdale County, AL"," 13,582 "
01,079,"Lawrence County, AL"," 6,694 "
01,081,"Lee County, AL"," 18,389 "
01,083,"Limestone County, AL"," 12,137 "
01,085,"Lowndes County, AL"," 4,330 "
01,087,"Macon County, AL"," 7,263 "
01,089,"Madison County, AL"," 41,640 "
01,091,"Marengo County, AL"," 5,476 "
01,093,"Marion County, AL"," 6,299 "
01,095,"Marshall County, AL"," 18,891 "
01,097,"Mobile County, AL"," 96,508 "
01,099,"Monroe County, AL"," 5,431 "
01,101,"Montgomery County, AL"," 55,808 "
01,103,"Morgan County, AL"," 17,651 "
01,105,"Perry County, AL"," 4,675 "
01,107,"Pickens County, AL"," 4,464 "
01,109,"Pike County, AL"," 7,916 "
01,111,"Randolph County, AL"," 5,979 "
01,113,"Russell County, AL"," 15,151 "
01,115,"St. Clair County, AL"," 12,914 "
01,117,"Shelby County, AL"," 14,693 "
01,119,"Sumter County, AL"," 4,590 "
01,121,"Talladega County, AL"," 17,721 "
01,123,"Tallapoosa County, AL"," 9,065 "
01,125,"Tuscaloosa County, AL"," 30,226 "
01,127,"Walker County, AL"," 13,228 "
01,129,"Washington County, AL"," 3,276 "
01,131,"Wilcox County, AL"," 4,954 "
01,133,"Winston County, AL"," 4,141 "
02,000,Alaska," 82,561 "
02,013,"Aleutians East Borough, AK", 117 
02,016,"Aleutians West Census Area, AK", 145 
02,020,"Anchorage Borough, AK"," 29,541 "
02,050,"Bethel Census Area, AK"," 6,789 "
02,060,"Bristol Bay Borough, AK", 52 
02,063,"Chugach Census Area, AK",
02,066,"Copper River Census Area, AK",
02,068,"Denali Borough, AK", 61 
