,Unnamed: 0,Percent.of.adults.with.a.bachelor.s.degree.or.higher.2007.11,Educator.expenses.amount,Tuition.and.fees.deduction.amount,Real.estate.taxes.amount,Taxable.income.amount,Nonrefundable.education.credit.amount,Residential.energy.tax.credit.amount,Refundable.education.credit.amount,Unemployment_rate_2013,SNAP,Binary Prob
0,1,21.6,151.0,605.0,4049.0,802296.0,2026.0,133.0,1754.0,6.3,8055.0,0.0
1,2,27.2,571.0,1674.0,27465.0,3682828.0,5278.0,756.0,5083.0,6.7,24402.0,0.0
2,3,13.9,69.0,138.0,1499.0,215438.0,566.0,50.0,791.0,10.4,6740.0,0.0
3,4,9.8,44.0,115.0,725.0,224461.0,444.0,63.0,403.0,8.0,4175.0,1.0
4,5,11.3,133.0,286.0,3319.0,639045.0,1461.0,138.0,1116.0,6.4,9037.0,1.0
5,6,14.4,17.0,62.0,432.0,64645.0,250.0,31.0,438.0,9.5,2966.0,0.0
6,7,12.4,46.0,98.0,837.0,198479.0,494.0,49.0,610.0,10.4,5451.0,1.0
7,8,15.8,291.0,972.0,7831.0,1309323.0,2958.0,336.0,2791.0,8.9,25918.0,0.0
8,9,10.5,79.0,202.0,1835.0,277586.0,1434.0,390.0,2945.0,8.1,7624.0,1.0
9,10,11.3,64.0,49.0,1621.0,233087.0,475.0,45.0,361.0,6.7,5434.0,1.0
10,11,12.4,100.0,244.0,2455.0,462151.0,841.0,160.0,800.0,6.7,9205.0,1.0
11,12,10.5,33.0,131.0,550.0,151541.0,373.0,69.0,375.0,9.4,3519.0,1.0
12,13,13.2,69.0,147.0,1388.0,300407.0,720.0,121.0,931.0,14.0,6970.0,0.0
13,14,9.1,31.0,67.0,568.0,130411.0,242.0,55.0,228.0,8.5,2319.0,1.0
14,15,9.4,37.0,63.0,876.0,148042.0,286.0,27.0,238.0,7.8,2805.0,1.0
15,16,21.3,162.0,417.0,4644.0,738203.0,1489.0,167.0,1189.0,7.0,7215.0,0.0
16,17,17.4,149.0,325.0,4177.0,770148.0,1372.0,170.0,1094.0,8.3,9869.0,0.0
17,18,11.6,26.0,94.0,412.0,106117.0,206.0,22.0,296.0,10.9,3914.0,1.0
18,19,9.5,15.0,0.0,394.0,96549.0,163.0,32.0,174.0,9.3,1978.0,1.0
19,20,12.9,83.0,199.0,1745.0,434683.0,695.0,84.0,675.0,8.2,8074.0,0.0
20,21,11.6,37.0,106.0,573.0,142583.0,355.0,35.0,352.0,7.8,2997.0,1.0
21,22,14.2,191.0,503.0,4623.0,997147.0,2128.0,149.0,1602.0,6.8,12811.0,0.0
22,23,17.6,104.0,401.0,2489.0,544749.0,1248.0,111.0,1175.0,7.5,10858.0,0.0
23,24,13.6,107.0,370.0,1991.0,332097.0,1401.0,288.0,2128.0,12.4,17240.0,0.0
24,25,10.7,194.0,262.0,3013.0,589251.0,1298.0,150.0,1069.0,7.7,15364.0,1.0
25,26,21.2,207.0,748.0,6697.0,1193477.0,2744.0,299.0,2466.0,6.2,12839.0,0.0
26,27,11.8,82.0,203.0,2005.0,385255.0,815.0,116.0,1127.0,8.7,10047.0,1.0
27,28,15.3,282.0,651.0,7613.0,1123042.0,2436.0,304.0,2434.0,7.7,18609.0,0.0
28,29,10.9,38.0,92.0,529.0,157157.0,284.0,30.0,249.0,8.4,3894.0,1.0
29,30,11.4,82.0,160.0,1314.0,282715.0,623.0,50.0,508.0,8.2,6764.0,1.0
30,31,10.3,64.0,158.0,871.0,243307.0,405.0,43.0,332.0,7.1,6283.0,1.0
31,32,10.6,15.0,0.0,329.0,51428.0,204.0,16.0,449.0,13.0,3308.0,1.0
32,33,10.0,38.0,86.0,515.0,131423.0,491.0,62.0,647.0,11.8,4440.0,1.0
33,34,14.8,51.0,132.0,1151.0,193712.0,395.0,48.0,365.0,7.8,3429.0,0.0
34,35,18.8,271.0,975.0,9246.0,1526909.0,2851.0,203.0,2866.0,7.0,19952.0,0.0
35,36,13.5,146.0,223.0,2447.0,580961.0,1067.0,110.0,808.0,8.0,9585.0,0.0
36,37,29.0,1563.0,9202.0,178377.0,13265926.0,25432.0,3431.0,28153.0,6.8,125294.0,0.0
37,38,9.4,35.0,38.0,356.0,128589.0,271.0,26.0,231.0,7.1,3131.0,1.0
38,39,21.6,226.0,645.0,8410.0,1320763.0,2449.0,296.0,1998.0,7.2,13582.0,0.0
39,40,12.3,68.0,150.0,1345.0,374942.0,834.0,153.0,671.0,8.5,6694.0,1.0
40,41,31.2,491.0,2222.0,22203.0,2163184.0,6041.0,392.0,6043.0,6.0,18389.0,0.0
